,Company,PriceRs.,Day HighRs.
0,"
CIE Automotive India
",474.3,493.65
1,"
ITC
",433.5,434.75
2,"
Engineers India
",108.55,109.15
3,"
Cummins India
",1595.3,1714.9
4,"
Indusind Bank
",1271.75,1275.9
5,"
CEAT
",2076.7,2112
6,"
Schneider Ele. Infra
",214.4,220
7,"
KPIT Technologies
",979.65,987.7
8,"
Elgi Equipments
",571.25,583.8
9,"
Indian Oil Corp.
",89.65,89.9
10,"
L&T Finance Holdings
",101.05,102.9
11,"
Dreamfolks Services
",563.7,591.85
12,"
Narayana Hrudayalay
",839.9,880.8
13,"
VA Tech Wabag
",455.95,459.75
14,"
Himadri Speciality
",127.65,128.5
